Species_Code,Common_Name,ML_Catalog_Number,Rating,Num_Raters,Vocalization_Type,Month,Year,Recordist,Selection_Reason
CHSW,Chimney Swift,69710231,4.00,7,call,9,2017,Martin Wall,Best overall (call)
CHSW,Chimney Swift,107907631,4.17,6,unknown,7,2018,Eddie Owens,High quality unknown
CHSW,Chimney Swift,235269391,4.40,5,flight call/song,5,2020,Seth Buddy,High quality flight call/song
CHSW,Chimney Swift,101564111,3.29,7,song,5,2018,Steve Semanchuk,Only song
CHSW,Chimney Swift,598583591,4.40,5,unknown,7,2023,Caleb Bronsink,High quality unknown
CHSW,Chimney Swift,96396631,3.71,7,call,4,2018,LynnErla Beegle,High quality call
CHSW,Chimney Swift,69710271,3.71,7,call,9,2017,Martin Wall,High quality call
CHSW,Chimney Swift,335251331,4.20,5,flight call/song,5,2021,LynnErla Beegle,High quality flight call/song
CHSW,Chimney Swift,235269401,4.20,5,flight call/song,5,2020,Seth Buddy,High quality flight call/song
CHSW,Chimney Swift,221962131,3.57,7,flight call/song,4,2020,Martin Wall,High quality flight call/song
EUST,European Starling,451305061,4.40,5,unknown,5,2022,Trenton Voytko,Best overall (unknown)
EUST,European Starling,232799671,4.20,5,call,5,2020,Martin Wall,High quality call
EUST,European Starling,71204211,3.00,6,song,10,2017,LynnErla Beegle,Only song
EUST,European Starling,63681961,2.67,6,flight call/song,7,2017,Martin Wall,Only flight call/song
EUST,European Starling,613957387,4.00,5,unknown,1,2024,Denise Chadurjian,High quality unknown
EUST,European Starling,557324211,3.80,5,call,4,2023,Martin Wall,High quality call
EUST,European Starling,207732081,3.80,5,call,12,2019,Martin Wall,High quality call
EUST,European Starling,630298499,3.60,5,unknown,2,2025,Katie Boyette,High quality unknown
EUST,European Starling,341823071,3.60,5,call,5,2021,Martin Wall,High quality call
EUST,European Starling,71205991,3.17,6,call,10,2017,LynnErla Beegle,High quality call
